	#	Owner	Build name	Sets	Crit RatioCrit ValueCrit RateCrit DMG	Max HP	ATK	DEF	EM	ER%	Unnamed: 10
0	1	NAScout	CA Hu Tao V2	4	89.0 : 243.1 256.6 cv	26889	1868	876	276	110.4%	61514
1	2	NAKazoo	F2P, Trust	4	84.7 : 240.0 244.9 cv	30686	1724	876	283	100.0%	60932
2	3	NA⠀	✅🔥 SR Tao - Homa 🔥⬆️	4	90.5 : 210.5 227.0 cv	29518	1874	876	304	106.5%	60755
3	4	EUKaptanOrtaKapi	Hu Tao	4	80.4 : 242.4 238.7 cv	29878	1737	1012	297	100.0%	59391
4	5	NASnow	Hu Tao	4	92.9 : 207.4 228.6 cv	30142	1833	876	271	100.0%	59325
5	6	CN小白c	Hu Tao	4	88.6 : 233.0 245.7 cv	30606	1667	876	292	100.0%	59175
6	7	NAACE	Hu Tao	4	91.3 : 232.2 250.3 cv	29999	1741	1049	231	100.0%	59159
7	8	ASIAbtxl	Hu Tao	4	90.9 : 218.3 235.6 cv	32448	1738	1120	234	100.0%	59076
8	9	EUlshy	VapTao	4	74.2 : 270.3 254.2 cv	29848	1813	876	248	100.0%	58955
9	10	EUArikes	Hu Tao	4	86.7 : 217.5 226.3 cv	30353	1756	918	297	100.0%	58878
10	11	ASIA동물애호가	Hu Tao	4	78.1 : 250.1 241.8 cv	28507	1752	876	306	100.0%	58798
11	12	ASIANate	Hu Tao homa	4	81.2 : 239.3 237.1 cv	29568	1719	954	299	100.0%	58780
12	13	NAAdry	Hu Tao	4	76.5 : 226.0 214.6 cv	35157	1787	895	261	100.0%	58775
13	14	NAAlexiscool	Hu Tao	4	90.2 : 208.2 223.9 cv	27432	1774	944	350	106.5%	58724
14	15	NAhenti	Hu Tao	4	85.9 : 226.8 234.0 cv	28636	1687	916	325	100.0%	58697
15	16	EUivancol	Hu Tao	4	90.5 : 243.9 260.4 cv	27794	1848	876	206	114.9%	58645
16	17	NA727	727 Solo Tao	4	88.2 : 218.3 230.1 cv	29179	1783	934	290	100.0%	58581
17	18	TW霜月	Hu Tao	4	86.3 : 244.7 252.6 cv	27789	1670	927	285	104.5%	58578
18	19	NAXav	Hu Tao	4	88.6 : 212.1 224.7 cv	27643	1756	984	346	100.0%	58451
19	20	NARLC	Hu Tao	4	85.5 : 216.0 222.4 cv	34036	1829	876	221	105.8%	58418
20	21	ASIAAi	Hu Tao	4	83.2 : 251.7 253.4 cv	34918	1812	876	142	110.4%	58364
21	22	ASIAShopchz	❌RV 3620% But i do not use this	4	67.6 : 233.0 203.7 cv	35222	1806	876	310	110.4%	58359
22	23	NABenny	Hu Tao	4	78.1 : 226.0 217.7 cv	30608	1833	876	306	106.5%	58358
23	24	NAGarlic	Hu Tao	4	90.2 : 240.8 256.6 cv	25006	1657	895	320	100.0%	58244
24	25	CN离子键	Hu Tao	4	91.7 : 230.7 249.5 cv	26757	1671	934	297	111.0%	58194
25	26	EUMimee	❌ #1 wife (best)	4	93.3 : 238.5 260.5 cv	26435	1714	1097	252	100.0%	58139
26	27	ASIAGF	Hu Tao	4	82.0 : 236.9 236.3 cv	33589	1827	940	193	100.0%	58109
27	28	EUiR0N	Hu Tao	4	80.8 : 243.9 241.0 cv	32172	1824	892	206	104.5%	58098
28	29	ASIA寇隆肯瑟	Hu Tao	4	82.0 : 259.5 258.9 cv	28521	1709	983	245	100.0%	58079
29	30	ASIAペェモン	Hu Tao	4	85.5 : 232.3 238.7 cv	30056	1715	876	262	110.4%	57987
30	31	ASIAZhurp	Hu Tao	4	83.5 : 236.1 238.7 cv	33015	1804	934	196	100.0%	57976
31	32	ASIAMostima	Hu Tao	4	84.3 : 252.5 256.6 cv	26943	1857	876	229	100.0%	57938
32	33	NAKono	Hu Tao	4	80.8 : 240.8 237.9 cv	34314	1805	895	184	100.0%	57897
33	34	ASIAFaruzanSuki	Hu Tao	4	73.0 : 221.4 202.9 cv	33056	1902	876	294	100.0%	57893
34	35	ASIACasual_Coomer	Homa Tao EM Sands	4	82.4 : 229.9 230.1 cv	26308	1819	892	332	106.5%	57752
35	36	ASIAlvleta	Hu Tao	4	82.8 : 233.8 234.8 cv	28546	1768	895	287	105.2%	57749
36	37	ASIAAstreos	Hu Tao	4	85.1 : 238.5 244.1 cv	28112	1705	918	280	100.0%	57718
37	38	NAxXFartKnightXx	Stolen Flower	4	78.5 : 243.1 235.6 cv	33702	1761	978	210	100.0%	57617
38	39	NABeyo	Hu Tao	4	81.6 : 222.9 221.6 cv	29000	1806	876	308	106.5%	57598
39	40	EUWilhelm	Hu Tao	4	83.2 : 254.8 256.5 cv	28848	1746	934	224	106.5%	57598
40	41	EULimulu	Hu Tao 4SR	4	77.7 : 233.8 224.7 cv	33955	1836	962	217	100.0%	57560
41	42	NAKami	Hu Tao	4	80.4 : 220.6 216.9 cv	28701	1768	991	341	100.0%	57382
42	43	EUValdo	Hu Tao	4	80.1 : 204.3 199.8 cv	30019	1769	927	376	100.0%	57378
43	44	ASIAReiss	Hu Tao	4	85.9 : 259.4 266.6 cv	27794	1729	1080	210	105.8%	57352
44	45	ASIA愛喵	Hu Tao	4	85.9 : 235.4 242.6 cv	28000	1737	950	269	114.2%	57344
45	46	ASIABlueCalxer	Hu Tao	4	76.2 : 233.0 220.8 cv	32168	1805	911	263	100.0%	57342
46	47	NATom	👻	4	86.3 : 213.6 221.6 cv	33682	1843	911	207	105.2%	57342
47	48	NAmika	Homa I guess	4	82.8 : 240.0 241.0 cv	28539	1727	963	273	105.2%	57329
48	49	EUHedanman	em shime	4	77.7 : 208.2 199.0 cv	32564	1773	892	329	100.0%	57328
49	50	ASIAVanzee	Hu Tao	4	78.9 : 202.7 195.9 cv	35551	1813	916	273	100.0%	57312
50	51	NAPuff	Hu Tao	4	92.5 : 240.0 260.4 cv	25283	1711	1071	262	100.0%	57284
51	52	NADump	Hu Tao	4	85.9 : 233.8 241.0 cv	32532	1826	876	177	111.7%	57272
52	53	CN脸白de欧皇	Hu Tao	4	72.7 : 275.0 255.7 cv	34770	1822	963	152	100.0%	57261
53	54	ASIADjeeta	Hu Tao	4	88.6 : 212.1 224.7 cv	25981	1749	1001	359	100.0%	57254
54	55	EUWakimy	Hu Tao	4	79.3 : 228.4 222.3 cv	37451	1870	927	161	105.8%	57246
55	56	NAマイククリフ	Hu Tao	4	78.9 : 266.4 259.6 cv	25166	1717	876	301	109.1%	57241
56	57	EUThunderlord	Hu Tao	4	83.5 : 207.4 209.9 cv	37477	1844	876	189	100.0%	57234
57	58	TWBunbuncity	Hu Tao	4	86.7 : 225.3 234.0 cv	29426	1731	876	266	120.1%	57226
58	59	ASIAYorushika	Hu Tao (Shime)	4	75.4 : 216.7 202.9 cv	32082	1827	899	313	100.0%	57221
59	60	ASIAMizyx	Hu Tao	4	78.1 : 232.2 223.9 cv	28883	1898	899	278	104.5%	57213
60	61	ASIANv	Hu Tao	4	81.6 : 234.6 233.2 cv	27395	1893	876	269	100.0%	57179
61	62	CN履刑者	Hu Tao	4	74.2 : 250.1 234.0 cv	33494	1795	909	214	100.0%	57179
62	63	NAHikiWojerNeet	Hu Tao	4	97.6 : 223.7 254.2 cv	33317	1791	1014	128	113.0%	57159
63	64	NAdedeʕ•ᴥ•ʔ	Hu Tao	4	82.0 : 212.8 212.3 cv	30334	1837	940	294	111.0%	57135
64	65	NARubedo	Hu Tao	4	79.3 : 241.6 235.6 cv	29842	1733	920	269	105.8%	57088
